site,roll,filename,exif-datetime,filedatetime
32A,R1,NIA_S1_32A_R1_IMAG0040.JPG,2016:10:21 09:04:48,2017:08:31 18:52:59
32A,R1,NIA_S1_32A_R1_IMAG0041.JPG,2016:10:21 09:05:40,2017:08:31 18:52:59
32A,R1,NIA_S1_32A_R1_IMAG0042.JPG,2016:10:21 09:06:05,2017:08:31 18:52:59
32A,R1,NIA_S1_32A_R1_IMAG0043.JPG,2016:10:21 09:06:10,2017:08:31 18:52:59
32A,R1,NIA_S1_32A_R1_IMAG0044.JPG,2016:10:21 09:06:18,2017:08:31 18:52:59
32A,R1,NIA_S1_32A_R1_IMAG0045.JPG,2016:10:21 09:06:23,2017:08:31 18:52:59
32A,R1,NIA_S1_32A_R1_IMAG0046.JPG,2016:10:21 09:06:28,2017:08:31 18:52:59
32A,R1,NIA_S1_32A_R1_IMAG0047.JPG,2016:10:21 09:06:38,2017:08:31 18:52:59
32A,R1,NIA_S1_32A_R1_IMAG0048.JPG,2016:10:21 09:09:16,2017:08:31 18:52:59
32A,R1,NIA_S1_32A_R1_IMAG0049.JPG,2016:10:21 09:09:21,2017:08:31 18:52:59
32A,R1,NIA_S1_32A_R1_IMAG0050.JPG,2016:10:21 09:09:51,2017:08:31 18:52:59
32A,R1,NIA_S1_32A_R1_IMAG0051.JPG,2016:10:21 09:09:56,2017:08:31 18:52:59
32A,R1,NIA_S1_32A_R1_IMAG0052.JPG,2016:10:21 09:11:40,2017:08:31 18:52:59
32A,R1,NIA_S1_32A_R1_IMAG0053.JPG,2016:10:21 09:11:45,2017:08:31 18:52:59
32A,R1,NIA_S1_32A_R1_IMAG0054.JPG,2016:10:21 09:11:50,2017:08:31 18:52:59
32A,R1,NIA_S1_32A_R1_IMAG0055.JPG,2016:10:21 09:13:25,2017:08:31 18:52:59
32A,R1,NIA_S1_32A_R1_IMAG0056.JPG,2016:10:21 09:14:01,2017:08:31 18:52:59
32A,R1,NIA_S1_32A_R1_IMAG0057.JPG,2016:10:21 09:14:06,2017:08:31 18:52:59
32A,R1,NIA_S1_32A_R1_IMAG0058.JPG,2016:10:21 09:14:36,2017:08:31 18:52:59
32A,R1,NIA_S1_32A_R1_IMAG0059.JPG,2016:10:21 09:14:41,2017:08:31 18:52:59
32A,R1,NIA_S1_32A_R1_IMAG0060.JPG,2016:10:21 09:16:10,2017:08:31 18:52:55
32A,R1,NIA_S1_32A_R1_IMAG0061.JPG,2016:10:21 09:16:30,2017:08:31 18:52:55
32A,R1,NIA_S1_32A_R1_IMAG0062.JPG,2016:10:21 09:20:45,2017:08:31 18:52:55
32A,R1,NIA_S1_32A_R1_IMAG0063.JPG,2016:10:21 09:20:50,2017:08:31 18:52:55
32A,R1,NIA_S1_32A_R1_IMAG0064.JPG,2016:10:21 09:20:55,2017:08:31 18:52:55
32A,R1,NIA_S1_32A_R1_IMAG0065.JPG,2016:10:21 09:21:00,2017:08:31 18:52:55
32A,R1,NIA_S1_32A_R1_IMAG0066.JPG,2016:10:21 09:21:06,2017:08:31 18:52:55
32A,R1,NIA_S1_32A_R1_IMAG0067.JPG,2016:10:21 09:22:41,2017:08:31 18:52:56
32A,R1,NIA_S1_32A_R1_IMAG0068.JPG,2016:10:21 09:22:46,2017:08:31 18:52:56
32A,R1,NIA_S1_32A_R1_IMAG0069.JPG,2016:10:21 09:23:39,2017:08:31 18:52:56
32A,R1,NIA_S1_32A_R1_IMAG0070.JPG,2016:10:21 09:23:45,2017:08:31 18:52:56
32A,R1,NIA_S1_32A_R1_IMAG0071.JPG,2016:10:21 09:23:55,2017:08:31 18:52:56
32A,R1,NIA_S1_32A_R1_IMAG0072.JPG,2016:10:21 09:24:04,2017:08:31 18:52:56
32A,R1,NIA_S1_32A_R1_IMAG0073.JPG,2016:10:21 09:30:20,2017:08:31 18:52:56
32A,R1,NIA_S1_32A_R1_IMAG0074.JPG,2016:10:21 09:33:14,2017:08:31 18:52:56
32A,R1,NIA_S1_32A_R1_IMAG0075.JPG,2016:10:21 09:33:23,2017:08:31 18:52:56
32A,R1,NIA_S1_32A_R1_IMAG0076.JPG,2016:10:21 09:33:28,2017:08:31 18:52:56
32A,R1,NIA_S1_32A_R1_IMAG0077.JPG,2016:10:21 09:33:33,2017:08:31 18:52:56
32A,R1,NIA_S1_32A_R1_IMAG0078.JPG,2016:10:21 09:33:38,2017:08:31 18:52:56
32A,R1,NIA_S1_32A_R1_IMAG0079.JPG,2016:10:21 09:34:13,2017:08:31 18:52:56
32A,R1,NIA_S1_32A_R1_IMAG0080.JPG,2016:10:21 09:34:18,2017:08:31 18:52:56
32A,R1,NIA_S1_32A_R1_IMAG0081.JPG,2016:10:21 09:34:23,2017:08:31 18:52:56
32A,R1,NIA_S1_32A_R1_IMAG0082.JPG,2016:10:21 09:34:33,2017:08:31 18:52:56
32A,R1,NIA_S1_32A_R1_IMAG0083.JPG,2016:10:21 09:34:38,2017:08:31 18:52:56
32A,R1,NIA_S1_32A_R1_IMAG0084.JPG,2016:10:21 09:34:49,2017:08:31 18:52:56
32A,R1,NIA_S1_32A_R1_IMAG0085.JPG,2016:10:21 09:34:55,2017:08:31 18:52:56
32A,R1,NIA_S1_32A_R1_IMAG0086.JPG,2016:10:21 09:35:00,2017:08:31 18:52:57
32A,R1,NIA_S1_32A_R1_IMAG0087.JPG,2016:10:21 09:35:05,2017:08:31 18:52:57
32A,R1,NIA_S1_32A_R1_IMAG0088.JPG,2016:10:21 09:36:53,2017:08:31 18:52:57
32A,R1,NIA_S1_32A_R1_IMAG0089.JPG,2016:10:21 09:36:58,2017:08:31 18:52:57
32A,R1,NIA_S1_32A_R1_IMAG0090.JPG,2016:10:21 09:37:18,2017:08:31 18:52:53
32A,R1,NIA_S1_32A_R1_IMAG0091.JPG,2016:10:21 09:37:23,2017:08:31 18:52:53
32A,R1,NIA_S1_32A_R1_IMAG0092.JPG,2016:10:21 09:37:28,2017:08:31 18:52:53
32A,R1,NIA_S1_32A_R1_IMAG0093.JPG,2016:10:21 09:38:10,2017:08:31 18:52:54
32A,R1,NIA_S1_32A_R1_IMAG0094.JPG,2016:10:21 09:38:33,2017:08:31 18:52:54
32A,R1,NIA_S1_32A_R1_IMAG0095.JPG,2016:10:21 09:38:38,2017:08:31 18:52:54
32A,R1,NIA_S1_32A_R1_IMAG0096.JPG,2016:10:21 09:38:43,2017:08:31 18:52:54
32A,R1,NIA_S1_32A_R1_IMAG0097.JPG,2016:10:21 09:38:48,2017:08:31 18:52:54
32A,R1,NIA_S1_32A_R1_IMAG0098.JPG,2016:10:21 09:39:11,2017:08:31 18:52:54
32A,R1,NIA_S1_32A_R1_IMAG0099.JPG,2016:10:21 09:39:16,2017:08:31 18:52:54
32A,R1,NIA_S1_32A_R1_IMAG0100.JPG,2016:10:21 09:39:21,2017:08:31 18:52:54
32A,R1,NIA_S1_32A_R1_IMAG0101.JPG,2016:10:21 10:12:11,2017:08:31 18:52:54
32A,R1,NIA_S1_32A_R1_IMAG0102.JPG,2016:10:21 10:12:16,2017:08:31 18:52:54
32A,R1,NIA_S1_32A_R1_IMAG0103.JPG,2016:10:21 10:12:21,2017:08:31 18:52:54
32A,R1,NIA_S1_32A_R1_IMAG0104.JPG,2016:10:21 10:15:19,2017:08:31 18:52:54
32A,R1,NIA_S1_32A_R1_IMAG0105.JPG,2016:10:21 10:15:24,2017:08:31 18:52:54
32A,R1,NIA_S1_32A_R1_IMAG0106.JPG,2016:10:21 10:15:29,2017:08:31 18:52:54
32A,R1,NIA_S1_32A_R1_IMAG0107.JPG,2016:10:21 10:23:58,2017:08:31 18:52:54
32A,R1,NIA_S1_32A_R1_IMAG0108.JPG,2016:10:21 10:24:03,2017:08:31 18:52:54
32A,R1,NIA_S1_32A_R1_IMAG0109.JPG,2016:10:21 10:24:08,2017:08:31 18:52:54
32A,R1,NIA_S1_32A_R1_IMAG0110.JPG,2016:10:21 10:26:06,2017:08:31 18:52:54
32A,R1,NIA_S1_32A_R1_IMAG0111.JPG,2016:10:21 10:26:11,2017:08:31 18:52:54
32A,R1,NIA_S1_32A_R1_IMAG0112.JPG,2016:10:21 10:26:32,2017:08:31 18:52:54
32A,R1,NIA_S1_32A_R1_IMAG0113.JPG,2016:10:21 10:26:41,2017:08:31 18:52:54
32A,R1,NIA_S1_32A_R1_IMAG0114.JPG,2016:10:21 10:26:54,2017:08:31 18:52:54
32A,R1,NIA_S1_32A_R1_IMAG0115.JPG,2016:10:21 10:26:59,2017:08:31 18:52:55
32A,R1,NIA_S1_32A_R1_IMAG0116.JPG,2016:10:21 10:40:17,2017:08:31 18:52:55
32A,R1,NIA_S1_32A_R1_IMAG0117.JPG,2016:10:21 10:40:22,2017:08:31 18:52:55
32A,R1,NIA_S1_32A_R1_IMAG0118.JPG,2016:10:21 10:40:27,2017:08:31 18:52:55
32A,R1,NIA_S1_32A_R1_IMAG0119.JPG,2016:10:21 10:40:32,2017:08:31 18:52:55
32A,R1,NIA_S1_32A_R1_IMAG0120.JPG,2016:10:21 10:40:37,2017:08:31 18:52:51
32A,R1,NIA_S1_32A_R1_IMAG0121.JPG,2016:10:21 10:40:42,2017:08:31 18:52:51
32A,R1,NIA_S1_32A_R1_IMAG0122.JPG,2016:10:21 10:43:58,2017:08:31 18:52:51
32A,R1,NIA_S1_32A_R1_IMAG0123.JPG,2016:10:21 10:44:03,2017:08:31 18:52:51
32A,R1,NIA_S1_32A_R1_IMAG0124.JPG,2016:10:21 10:44:08,2017:08:31 18:52:51
32A,R1,NIA_S1_32A_R1_IMAG0125.JPG,2016:10:21 10:44:13,2017:08:31 18:52:52
32A,R1,NIA_S1_32A_R1_IMAG0126.JPG,2016:10:21 10:45:31,2017:08:31 18:52:52
32A,R1,NIA_S1_32A_R1_IMAG0127.JPG,2016:10:21 10:45:36,2017:08:31 18:52:52
32A,R1,NIA_S1_32A_R1_IMAG0128.JPG,2016:10:21 10:45:41,2017:08:31 18:52:52
32A,R1,NIA_S1_32A_R1_IMAG0129.JPG,2016:10:21 10:45:46,2017:08:31 18:52:52
32A,R1,NIA_S1_32A_R1_IMAG0130.JPG,2016:10:21 10:47:19,2017:08:31 18:52:52
32A,R1,NIA_S1_32A_R1_IMAG0131.JPG,2016:10:21 10:47:24,2017:08:31 18:52:53
32A,R1,NIA_S1_32A_R1_IMAG0132.JPG,2016:10:21 10:47:29,2017:08:31 18:52:53
32A,R1,NIA_S1_32A_R1_IMAG0133.JPG,2016:10:21 10:47:34,2017:08:31 18:52:53
32A,R1,NIA_S1_32A_R1_IMAG0134.JPG,2016:10:21 10:47:39,2017:08:31 18:52:53
32A,R1,NIA_S1_32A_R1_IMAG0135.JPG,2016:10:21 10:47:44,2017:08:31 18:52:53
32A,R1,NIA_S1_32A_R1_IMAG0136.JPG,2016:10:21 10:47:49,2017:08:31 18:52:53
32A,R1,NIA_S1_32A_R1_IMAG0137.JPG,2016:10:21 10:47:54,2017:08:31 18:52:53
32A,R1,NIA_S1_32A_R1_IMAG0138.JPG,2016:10:21 10:47:59,2017:08:31 18:52:53
32A,R1,NIA_S1_32A_R1_IMAG0139.JPG,2016:10:21 10:48:04,2017:08:31 18:52:53
32A,R1,NIA_S1_32A_R1_IMAG0140.JPG,2016:10:21 10:48:09,2017:08:31 18:52:53
32A,R1,NIA_S1_32A_R1_IMAG0141.JPG,2016:10:21 10:48:14,2017:08:31 18:52:53
